Tahun - Kuartal,Jumlah aset lancar,Jumlah liabilitas jangka pendek,Jumlah aset,Jumlah liabilitas,Jumlah ekuitas,Jumlah ekuitas yang diatribusikan kepada pemilik entitas induk,Penjualan dan pendapatan usaha,Jumlah laba bruto,Jumlah laba (rugi),Laba (rugi) yang dapat diatribusikan ke entitas induk,Laba (rugi) per saham dasar dari operasi yang dilanjutkan,Current Ratio,Debt Equity Ratio,Gross Profit Margin,Net Profit Margin,Return on Asset,Return on Equity,Code
2019 - 1,316616142,291380303,784373639,402082440,382291199,382290349,205202571,15942064,32838020,32838034,0.2007,1.086607909800959,1.0517700670373005,0.0776893969812883,0.1600273322111544,0.1037156027250183,0.0858981506749991,INOV
2019 - 2,266450094,261730065,605615908,422411368,183204540,183204540,236923975,46834897,16728411,16728411,13.94,1.0180339580017297,2.3056817696766685,0.1976790107459576,0.0706066619049422,0.062782529924722,0.0913100243039828,INOV
2019 - 3,377579659,230919457,711880129,378934232,332945897,332945897,379733631,73073862,24423795,24423795,17.63,1.6351140952145926,1.1381255495693945,0.1924345278756729,0.0643182299541965,0.064685145022603,0.0733566480922875,INOV
2019 - 4,335436654,255078846,691324273,360157931,331166342,331166342,494684971,92036033,22534439,22534439,12.46,1.3150312511606703,1.0875438875367351,0.1860497860162402,0.045553110203544,0.0671794174288418,0.068045680197778,INOV
2020 - 1,340927235,283635158,697165864,397186500,299979364,299979364,133638599,18961441,-31186978,-31186978,-17.25,1.2019921557115285,1.3240460767161304,0.14188596065722,-0.2333680406212579,-0.0914769334869946,-0.1039637446527821,INOV
2020 - 2,368383946,267424073,753729042,430698005,323031037,323031037,235200872,35600967,-8135305,-8135305,-4.5,1.3775272430317071,1.3333022393139269,0.151364094432439,-0.0345887535655054,-0.0220837663756389,-0.025184282834098,INOV
2020 - 3,349647348,306615879,783136693,482281120,300855573,300855573,378360814,61906590,-16749104,-16749104,-9.26,1.140343250128934,1.6030320302559262,0.1636178687362693,-0.0442675440485758,-0.047902848672543,-0.0556715763413829,INOV
2020 - 4,370080708,376965310,796514753,488636199,307878554,307878554,518652053,90753641,-9234526,-9234526,-5.11,0.9817367757261272,1.5871069701074405,0.1749798163818316,-0.0178048577010067,-0.0249527354449397,-0.0299940540840658,INOV
2021 - 1,371209595,446048766,882707628,575006131,307701497,307701497,151195698,31176207,-177057,-177057,-0.1,0.832217513633924,1.868714116135743,0.2061977120539501,-0.0011710452237867,-0.0004769731234991,-0.0005754180649956,INOV
2021 - 2,395472856,447719750,910674256,594893907,315780349,315780349,305403456,64848923,7901795,7901795,4.37,0.8833044689228027,1.8838851400471408,0.2123385368631846,0.0258732992202943,0.0199806254212299,0.0250230738708823,INOV
2021 - 3,382393090,427922098,898188891,564620713,333568178,333568178,464642422,100037130,25689624,25689624,14.21,0.8936044476020493,1.6926695957190496,0.2152991747275284,0.0552890196496091,0.0671811930492781,0.0770146125869356,INOV
2021 - 4,360299384,426642689,890731798,556010323,334721475,334721475,633300205,133773820,27322803,27322803,15.11,0.84449914012238,1.6611133868838264,0.2112328701993709,0.0431435246416823,0.0758336100846622,0.0816284733448907,INOV
2022 - 1,367401851,439048322,900568220,559759406,340808814,340808814,184750066,35146167,6087345,6087345,3.37,0.836814155959808,1.6424440419548538,0.1902362892795935,0.0329490815987042,0.0165686291003471,0.0178614658715956,INOV
2019 - 4,3736573,2112483,5570651,2287060,3283591,3276931,6913792,1450360,366863,364337,42.0,1.768806186842687,0.6965118371928781,0.2097777890917169,0.0530624872718184,0.097505655583338,0.1111823837609031,DMND
2020 - 1,3678371,843004,5534524,1034950,4499574,4490897,1725686,357193,67983,65966,7.0,4.363408714549397,0.2300106632316748,0.2069860913283181,0.0393947682255056,0.0179334819679689,0.0146888249719376,DMND
2020 - 2,3667477,822983,5492131,1004529,4487602,4477305,2967498,598481,92397,88760,9.0,4.456321698018064,0.223845385575637,0.2016786531953854,0.0311363310101641,0.0242019241020461,0.0198244256310436,DMND
2020 - 3,3854747,923056,5670255,1110023,4560232,4548907,4449058,859617,165027,160362,17.0,4.17607057426635,0.2434137122848135,0.1932132599754824,0.0370925710566146,0.0416011738254157,0.0352528640396473,DMND
2020 - 4,3584233,822493,5680638,1025042,4655596,4643746,6110155,1319205,205589,200434,21.0,4.357767178565654,0.220174173188567,0.215903688204309,0.0336471006054674,0.0559210296875231,0.0431621367749226,DMND
2021 - 1,3504216,760723,5659485,966818,4692667,4679871,1602267,321159,37071,36125,4.0,4.6064283582854735,0.2060274040327174,0.2004403760421952,0.0231365933393123,0.0103090106317647,0.0077192298676608,DMND
2021 - 2,3604768,799092,5789742,1006036,4783706,4769861,3352813,749487,128110,126115,13.0,4.511080075886131,0.2103047302656141,0.2235397560197959,0.0382097062973688,0.034985607950359,0.0264399738273295,DMND
2021 - 3,3615433,766720,5842979,976398,4866581,4851055,4933245,1060926,210923,207309,22.0,4.715454142320534,0.2006332577224133,0.2150564182399212,0.0427554277154286,0.0573400198537768,0.0427348277848839,DMND
2021 - 4,3965274,1106492,6297287,1277906,5019381,5002511,6973718,1476592,351470,346507,37.0,3.58364452702776,0.2545943414138117,0.211736694830505,0.050399227499592,0.0873853862305606,0.0692666143062953,DMND
2022 - 1,3964288,1080497,6380686,1272126,5108560,5090346,2014143,411528,89179,87835,9.0,3.668948641227139,0.2490185101085237,0.2043191570807038,0.0442763994413504,0.0221565638016208,0.0172552121211406,DMND
2019 - 1,359651,250824,865873,366549,499324,499324,191190,93230,17410,17410,30.0,1.4338779383153126,0.7340904903429437,0.4876301061771013,0.0910612479732203,0.0484080400165716,0.0348671403737853,ADES
2019 - 2,369461,254410,866464,353944,512520,512520,403098,200981,30606,30606,52.0,1.4522267206477733,0.6905954889565286,0.4985909133759036,0.0759269458047422,0.0828395960602066,0.0597166939826738,ADES
2019 - 3,393490,256527,882130,353283,528847,528847,616024,307409,46933,46933,80.0,1.5339126095888542,0.6680249675236883,0.4990211420334273,0.0761869667415555,0.119273679127805,0.0887458943702053,ADES
2019 - 4,351120,175191,822375,254438,567937,567937,834330,417049,83885,83885,142.0,2.0042125451649917,0.4480039159272947,0.4998609662843239,0.1005417520645308,0.2389069264069264,0.1477012415109422,ADES
2020 - 1,380356,186050,845976,256827,589149,589149,198986,91560,21212,21212,36.0,2.0443751679656006,0.4359287718387029,0.4601328736695044,0.1066004643542761,0.0557688060658961,0.0360044742501472,ADES
2020 - 2,371330,137037,818093,210234,607859,607859,319881,153368,39922,39922,68.0,2.7097061377584155,0.3458598128842379,0.4794532966947083,0.1248026609895554,0.1075108394150755,0.0656764150896836,ADES
2020 - 3,468436,172808,890363,248042,642321,642321,485384,231629,74384,74384,126.0,2.710730984676635,0.3861651728652807,0.477207736554975,0.1532477378735187,0.1587922362926846,0.1158050258359916,ADES
2020 - 4,545239,183559,958791,258283,700508,700508,673364,342565,135789,135789,230.0,2.970374647933362,0.3687081375230547,0.5087367308023595,0.2016576472754706,0.2490449142486139,0.1938436106368521,ADES
2021 - 1,599995,192128,1017017,269038,747979,747979,185280,99897,47471,47471,80.0,3.1228920303131247,0.3596865687405662,0.5391677461139897,0.256212219343696,0.0791189926582721,0.0634656855339521,ADES
2021 - 2,590988,196493,1064648,274249,790399,790399,375034,187082,89891,89891,152.0,3.007679662888754,0.3469753883797929,0.4988401051637985,0.2396876016574497,0.152102919179408,0.113728635790278,ADES
2021 - 3,663536,227904,1149089,305728,843361,843361,616073,311512,142853,142853,242.0,2.91147149677057,0.3625114274907187,0.5056413769147488,0.2318767418796149,0.2152905042077596,0.1693853521801458,ADES
2021 - 4,673394,268367,1304108,334291,969817,969817,935075,499568,265758,265758,451.0,2.509228034743467,0.3446949269810696,0.5342544715664519,0.2842103574579579,0.3946545410265015,0.2740290178456347,ADES
2022 - 1,755755,269326,1380815,335403,1045412,1045412,294249,149969,75595,75595,128.0,2.806097443247217,0.3208333173906555,0.5096669827255148,0.2569082647689542,0.1000258020125569,0.072311203621156,ADES
2019 - 1,532800686701,199708012527,801901901343,212085228464,589816672879,589820892209,398624686479,55249256501,25482570546,25487530996,11.0,2.6678983980623547,0.3595782184806243,0.1385996863089677,0.0639262228616201,0.0478368959203373,0.043212323152108,HOKI
2019 - 2,507979648291,224743241237,832273353509,237043120000,595230233509,595240373319,859493296166,122594891511,56442909782,56453790712,24.0,2.260266629132205,0.3982377014060322,0.142636239349239,0.0656699825743594,0.1111339615709565,0.0948420054191206,HOKI
2019 - 3,495246906408,208858688054,836602357736,221081229644,615521128092,615541697729,1225862357747,174407285664,76139859772,76161170529,32.0,2.371205675101985,0.3591773207352123,0.1422731390370297,0.0621112633819156,0.153784242856544,0.1237303188557193,HOKI
2019 - 4,483422211591,161901915986,848676035300,207108590481,641567444819,641565552088,1653031823505,240521135082,103723133972,103723228652,44.0,2.985895556867916,0.322816552107674,0.1455030276259363,0.0627472093985892,0.2145603287665135,0.161672066579056,HOKI
2020 - 1,463653164973,183942527386,889054570886,230121897164,658932673722,658930855071,450428381804,45112890012,14673158076,14673232156,6.0,2.5206414827607126,0.3492343092719168,0.1001555226855808,0.0325760069053217,0.0316470009578268,0.0222682426283087,HOKI
2020 - 2,394462008383,118436916426,833146552559,165019974729,668126577830,668124785600,755779907269,86189282064,23979562357,23979662858,10.0,3.3305663494664004,0.2469890889013371,0.1140401871431641,0.0317282348027083,0.0607908045601114,0.0358909942795572,HOKI
2020 - 3,435643717638,197932619548,886962358688,242972640588,643989718100,643987952321,936570659004,113280592783,28590700800,28590827752,12.0,2.200969797867771,0.3772927327238332,0.1209525321917181,0.030527008854201,0.0656289224300433,0.0443965258184654,HOKI
2020 - 4,423486192138,188719266211,906924214166,244363297557,662560916609,662414476409,1173189488886,143529366297,38038419405,38043800534,16.0,2.244000841252296,0.3688163479482856,0.1223411628357564,0.0324230823454779,0.0898348074631033,0.0574320186059917,HOKI
2021 - 1,409825088256,213066154397,935332818159,265917133764,669415684395,669287236537,240735152805,30999004686,6989970931,7007963273,0.9,1.9234640500076083,0.3972376805068868,0.1287680852788033,0.0290359378327352,0.0170998884007375,0.0104707857709349,HOKI
2021 - 2,388334650589,196967188434,918322705518,248535350606,669787354912,669706589201,429751220429,59757052438,7496844592,7562419420,0.8,1.9715702583586587,0.3710660537009598,0.1390503379568007,0.0174446150135798,0.0194739753677139,0.0112921382915201,HOKI
2021 - 3,459458818103,272680441851,986908380561,323012945759,663895434802,663871936423,630028759856,89336689019,11417880306,11540722466,1.2842310358144762,1.6849716649427346,0.4865418992605896,0.141797795134652,0.0181227922176277,0.0251180780763964,0.0173839589125915,HOKI
2021 - 4,450325961390,280958063589,989119315334,320458715888,668660599446,668785330891,933597187584,113096136491,12533087704,12804501815,1.4,1.602822697585075,0.4792546714334703,0.121140185505137,0.0134245131312291,0.0284338521711627,0.0191459070998776,HOKI
2022 - 1,417261912490,241976377464,953053952496,278795363973,674258588523,674619997617,232349110697,30072406760,5733192222,5969869871,0.6,1.7243911032269177,0.4134843348213278,0.1294276817750191,0.0246749049514396,0.0143072484986107,0.0088492334826831,HOKI
2019 - 3,116173197205,2686813546,117941123751,3122551435,114818572316,114818572316,70718982899,7877191061,2699073415,2699073415,12.88,43.23828029598597,0.0271955257064703,0.1113872221868647,0.0381661797774267,0.0232331852779879,0.0235072894616011,OPMS
2019 - 4,114478124353,1554585501,116186694297,1872057936,114314636361,114314636361,88393987345,8942848774,3131037263,3131037263,5.73,73.63900170132875,0.0163763626040687,0.10117032891724,0.0354213828003891,0.0273505290263602,0.0273896446043211,OPMS
2020 - 1,110731591872,1384566542,112718512362,1761991442,110956520920,110956520920,7339634908,1562876328,869998373,869998373,0.87,79.97563751038554,0.0158800170318101,0.2129365217194261,0.1185342845938734,0.0078568216919131,0.0078408944853928,OPMS
2020 - 2,92893709875,836787881,94838208754,1274165246,93564043508,93564043508,10018900074,1989601835,1071924179,1071924179,1.18,111.01225529699084,0.0136181079635688,0.1985848566514009,0.1069902056196513,0.0115392547077989,0.0114565824520863,OPMS
2020 - 3,93430839912,679251300,95356139565,1161697740,94194441825,94194441825,18294307544,2956701118,1747401571,1747401571,1.93,137.54974029788386,0.0123329754653493,0.1616186407104384,0.0955161361968628,0.0187026208117772,0.0185510051033204,OPMS
2020 - 4,94685770260,5096435041,99117797294,5492485549,93625311745,93625311745,34773247358,4282446614,1031801421,1031801421,1.21,18.57882411887294,0.0586645368290944,0.1231534854916209,0.0296722768045596,0.0108971117641727,0.0110205392299278,OPMS
2021 - 1,90049428808,279763852,94212298903,675814359,93536484544,93536484544,6440749155,684427538,-88827201,-88827201,-0.1,321.8765689857602,0.0072251417432958,0.106265206349276,-0.0137914392972505,-0.0009864271453558,-0.000949652976943,OPMS
2021 - 2,87475990308,568675140,94837415797,914907786,93922508011,93922508011,23138509780,2439160400,356112668,356112668,0.44,153.82418564665934,0.0097410919424431,0.1054156219735599,0.0153904755053763,0.0040709761243758,0.0037915583340075,OPMS
2021 - 3,80160943935,428973585,93868479199,775206231,93093272968,93093272968,32551998333,2683277467,-473122375,-473122375,0.44,186.8668532002967,0.0083271992302437,0.0824304990296031,-0.0145343573122626,-0.005902155735387,-0.0050822402082976,OPMS
2021 - 4,57896971418,282845055,93904738720,692375584,93212363136,93212363136,41184564806,3723072253,-353809860,-353809860,-0.45,204.69501019913537,0.0074279372467984,0.0903996987836958,-0.0085908364375494,-0.0061110253495919,-0.0037957396218329,OPMS
2022 - 1,57575248446,400994279,93413991477,810524808,92603466669,92603466669,6061662511,674915783,-608896468,-608896468,-0.76,143.58122163134402,0.0087526400161359,0.1113416957435755,-0.1004504072760642,-0.0105756637519521,-0.006575309649869,OPMS
2019 - 1,466319606819,105867572450,1743499562019,287780418722,1455719143297,1455719143297,68910617771,25198829160,22379303380,22379303380,2.71,4.404744493780068,0.1976895200197873,0.3656741148909646,0.3247584204566222,0.047991341244818,0.0153733661352518,ARTI
2019 - 2,627381968995,349481127512,3543972691127,1000988711032,2542983980095,2450317977742,108931537210,27903293950,-23404807470,-8274605003,0.4,1.7951812547401658,0.393627611839932,0.2561544128052427,-0.2148579563774982,-0.0131891023522002,-0.0033769515132991,ARTI
2019 - 3,631676385172,326962162931,3545353789852,996748039604,2548605750248,2452305515025,142698511973,30431694264,-17783037317,-6287067720,-2.27,1.931955610733175,0.3910954212933908,0.2132586657228632,-0.1246196408857068,-0.0099529883775662,-0.0025637375447226,ARTI
2019 - 4,1078162621747,908780640051,1785484025752,984445211975,801038813777,1334517817538,172419774164,6778818228,-991984266198,-350709057617,-126.53,1.186383791897783,1.2289606883506874,0.039315781851983,-5.753309160783712,-0.3252840068307402,-0.2627983328570386,ARTI
2020 - 1,1092425564806,918849679240,1790945729855,984036357190,806909372665,1336593312327,14396538727,-4893869386,5870558888,2075494789,0.75,1.1889056387433996,1.2195128604591594,-0.3399337492713987,0.407775716046945,0.0018998958426687,0.0015528244604086,ARTI
2020 - 2,886982596910,112762689466,1484267924377,1017358266713,466909657664,1672329377992,26913419724,-9383423387,-334129156113,1313341938,-42.62,7.86592268338404,2.178918876518756,-0.3486522145170703,-12.41496471052472,0.0014806851257006,0.0007853368811692,ARTI
2020 - 3,95993176303,935255105524,920107917539,1025524245041,-105416327502,1665274078975,30055233957,-19434843479,-906455141279,-5741957079,-115.62,0.1026384948192476,-9.728324533232705,-0.646637570907131,-30.1596434942368,-0.0598163046597776,-0.003448055279005,ARTI
2020 - 4,18474673312,918778304442,852964580560,1008746103330,-155781522770,-160738633453,32804745743,-21025595132,-956820336547,-950641963956,-121.3,0.0201078684843567,-6.475389926822963,-0.6409315071886061,-29.16713161086365,-51.45649657244668,5.914209568255212,ARTI
2021 - 1,11305640874,925938951410,823816331518,1009665332761,-185849001243,-190527047044,430492662,-8596170746,-30067478472,-29788413590,-4.63,0.0122099203805866,-5.432718637216938,-19.96821666149561,-69.84434608550889,-2.634827509735031,0.1563474270564888,ARTI
2021 - 2,10679302875,926129581482,823189993519,1009869297272,-186679303753,-191357349554,1379263447,-9107407613,-30897780982,-30618716100,-3.94,0.011531110860222,-5.409647866526131,-6.6030950307639085,-22.40165288886975,-2.86710813040781,0.1600080486658264,ARTI
2021 - 3,11484304030,926129581482,802578255457,1009869297273,-207291041816,-211969087617,3131863540,-29044879166,-51509519045,-51230454163,-6.57,0.0124003209266058,-4.871745968498732,-9.273992559075548,-16.44692317756603,-4.460910650673535,0.241688327005335,ARTI
2021 - 4,9041486081,714848535529,643764915310,742134731975,-98369816665,-105014496213,6010295707,-22683882897,-134182756877,-133686148865,-17.18,0.0126481144349119,-7.544333791963361,-3.7741708566153913,-22.32548337359202,-14.785860163621924,1.2730256648934022,ARTI
2022 - 1,8325464772,714821005573,637199922553,741612210143,-104412287590,-111000885234,1520453539,-4915803157,-6042470925,-5986389021,-0.77,0.011646922386292,-7.10272925975072,-3.233116324115445,-3.974124016294588,-0.7190456250722815,0.0539310025175037,ARTI
2019 - 1,289449231037,127187055917,553788046242,336571879203,217216167039,217216167039,98037489637,13114513801,1965842409,1965842409,2.0,2.275775855884968,1.5494789535742537,0.1337703958920067,0.0200519456003907,0.0067916656816017,0.0090501661814474,SSTM
2019 - 2,277354814049,156195836135,537498186842,320289778314,217208408528,217208408528,202340340590,24177156803,1958083898,1958083898,2.0,1.775686349342132,1.4745735696171816,0.1194875758956534,0.0096771800041972,0.0070598518533522,0.009014770244254,SSTM
2019 - 3,257089518408,135084402313,512729522157,295536508129,217193014028,217193014028,317983631709,33140135292,1942689398,1942689398,2.0,1.90317693239154,1.3607090884189312,0.1042196263810456,0.0061094006240479,0.0075564706411599,0.0089445298537528,SSTM
2019 - 4,263602799221,166219539040,514765731890,314416806582,200348925308,200348925308,354113973461,13639421837,-16266732177,-16266732177,-14.0,1.5858713165939242,1.5693461100359856,0.0385170393127741,-0.0459364311947761,-0.0617092543215455,-0.081192011147516,SSTM
2020 - 1,211057789436,107456675375,458207588578,254294612854,203912975724,203912975724,103379499739,12194983805,3564050416,3564050416,3.0,1.9641198529496195,1.2470742087457567,0.1179632696597334,0.0344754078419617,0.0168866092340114,0.017478291429693,SSTM
2020 - 2,212836171092,101286697320,456144737741,252292055727,203852682014,203852682014,127162674289,18575671281,3503756706,3503756706,3.0,2.101324030929514,1.237619506569324,0.1460780168776842,0.027553342406413,0.0164622239162791,0.0171876900091968,SSTM
2020 - 3,241391060649,143495381120,480814959914,284737400592,196077559322,196077559322,136021001869,14303700179,-4271365986,-4271365986,-4.0,1.6822218162348612,1.452167201471547,0.1051580269403963,-0.031402253529302,-0.0176947977050851,-0.0217840634123027,SSTM
2020 - 4,246379557480,164959909413,482065294095,295733976001,186331318094,186331318094,220499855235,6250482015,-15354377443,-15354377443,-13.0,1.4935723374044454,1.587140471210582,0.028346875821476,-0.0696344105379838,-0.0623200138844571,-0.0824036324116703,SSTM
2021 - 1,236468569120,154965405778,470854718216,270908676548,199946041668,199946041668,77190825783,4535526627,13614723574,13614723574,12.0,1.525944244993361,1.3549089258682587,0.0587573274543057,0.1763774831516107,0.0575751932896036,0.0680919885206156,SSTM
2021 - 2,228059916336,81842508555,447643013495,207173293185,240469720310,240469720310,127265156054,7795071205,54138402216,54138402216,46.0,2.786570455409961,0.8615358845093839,0.0612506317258784,0.425398466435137,0.2373867494375384,0.2251360468428533,SSTM
2021 - 3,227444981966,68311670775,444379478313,190633175683,253746302630,253746302630,158483394022,14937535337,67414984536,67414984536,58.0,3.3295186515806603,0.7512746932946315,0.0942530000015423,0.4253756991514312,0.2964012833049781,0.2656786870873193,SSTM
2021 - 4,256580539718,111926833396,471128491654,226803599461,244324892193,244324892193,226838383304,6000518997,56749821815,56749821815,48.0,2.29239523654003,0.9282869110276354,0.0264528379615469,0.250177333255572,0.2211774200700179,0.2322719609354069,SSTM
2022 - 1,252162640163,103013390045,465816489584,218531781059,247284708525,247284708525,76395607231,6940724612,2959816332,2959816332,3.0,2.4478627492294565,0.8837254125517707,0.0908524045239027,0.0387432790873734,0.0117377274051649,0.0119692655063657,SSTM
2019 - 1,2267218539836,1760288806611,4503197115170,1993504191313,2509692923857,2504633213762,493031201217,155156919023,59706078467,64906642895,37.87,1.2879810013681603,0.7943219556316476,0.3147000000000204,0.1210999999992318,0.0286283133957148,0.0259146299499514,WOOD
2019 - 2,2470242704204,1834133686389,4867896076496,2294771868655,2573124207841,2562536736370,977540122954,342581269723,123060226597,122733029649,39.03,1.3468171499904986,0.891823201407151,0.3504523872511377,0.1258876476856294,0.0496846036383898,0.0478951298168935,WOOD
2019 - 3,2714408961406,2031415376434,5154653231896,2522412549315,2632240682581,2621731973715,1408740451968,504441518655,182176701337,181928266994,38.52,1.3362156223169606,0.9582758013000886,0.3580798137444686,0.1293188543585161,0.0670231603198677,0.0693923973991159,WOOD
2019 - 4,3051770067409,2348391451216,5515384761490,2811776373408,2703608388082,2693624886183,2136286045964,743942019666,218064313042,217472643797,34.49,1.2995150641639364,1.0400087474956892,0.3482408271455501,0.1020763644709378,0.0712611497568156,0.080736053825657,WOOD
2020 - 1,3206757683163,2472661285082,5672078185825,2911337811073,2760740374752,2750655993611,482137457059,168809436077,57131986670,57031107428,36.24,1.296885142542544,1.0545496554830978,0.3501271963118653,0.1184972995429572,0.0177846638451793,0.0207336386521859,WOOD
2020 - 2,3122323793302,2383259641298,5591916479560,2774714523322,2817201956238,2807000675524,1133954341318,365074413774,113593568156,113375789341,36.03,1.3101064354035223,0.9849185704198729,0.3219480718682839,0.1001747283968856,0.0363113491253576,0.0403903676723681,WOOD
2020 - 3,3142787481957,2346202599370,5644850010213,2737233810835,2907616199378,2897222606667,1885079606132,624884926871,189287831413,188894449720,30.02,1.3395209274769784,0.94140134843813,0.3314899407103571,0.1004137070908109,0.0601041116538927,0.0651984591330061,WOOD
2020 - 4,3392961858575,2550520191952,5949006786510,2919169404821,3029837381689,3019476686040,2968618441357,996548239157,314373402229,314011755643,49.79,1.3303019004833876,0.9634739548938076,0.3356942829949755,0.1058988915009553,0.092547976880259,0.1039954231455987,WOOD
2021 - 1,3498784609611,2558171527051,6039864033252,2908178756251,3131685277001,3121307686814,912059959195,301061756811,101847895312,101831000774,64.6,1.367689606663833,0.9286305931214016,0.3300898737805816,0.1116679822255246,0.0291046783772499,0.0326244673680157,WOOD
2021 - 2,3943551929934,2283686361589,6335446663577,3013516316378,3321930347199,3248168353483,2140232154003,673541958962,221834298912,219302638238,69.73,1.7268360473064512,0.9071581885872322,0.3147050929508911,0.1036496430992733,0.0556104349922102,0.067515785628181,WOOD
2021 - 3,4042655788290,1924789281315,6487945996436,3047836336973,3440109659463,3366030285079,3521009205940,1159751084014,355993903838,353379540922,74.6,2.100310837936551,0.8859706924135571,0.3293803043904234,0.1011056441537933,0.0874127206045102,0.1049840646082322,WOOD
2021 - 4,4310623272972,2084148153947,6801034778630,3158497024662,3642537753968,3631930945664,5416331556250,1917010891738,535295612635,536608966841,84.59,2.068290233978068,0.8671144235145648,0.3539315996130125,0.0988299196745651,0.1244852386441624,0.1477475686815118,WOOD
2022 - 1,4494721951760,1651815677721,6981288536362,3131973050243,3849315486119,3838544792582,1975681701627,660715095477,206777732151,206613846918,130.0,2.7210796049359094,0.8136441560940366,0.3344238573110701,0.1046614603864153,0.0459681041754087,0.0538260872498562,WOOD
2019 - 1,1891955,822818,2390936,880538,1510398,1510394,730342,167365,25616,25616,18.99,2.2993602473451,0.5829840876378279,0.2291597635080551,0.0350739790399566,0.0135394340774489,0.0169598131348509,ASGR
2019 - 2,1783386,759063,2286445,812285,1474160,1474156,1557872,337211,56817,56817,42.13,2.349457159682398,0.5510154935692191,0.2164561658467448,0.0364709038996785,0.0318590591156373,0.0385420538938891,ASGR
2019 - 3,1992710,967405,2538623,1021319,1517304,1517300,2748711,518422,99961,99961,74.11,2.059850838066787,0.6731142869194308,0.1886054954485939,0.03636650051606,0.0501633453939609,0.065880840967508,ASGR
2019 - 4,2351295,1197865,2896840,1270830,1626010,1626006,4771800,852405,250992,250992,186.06,1.9629048348520075,0.7815634590193172,0.1786338488620646,0.0525990192380233,0.1067462823678015,0.1543610540182508,ASGR
2020 - 1,2076002,944972,2680210,1054640,1625570,1625566,709860,148660,2332,2332,1.73,2.196892606341775,0.6487816581260727,0.2094215760854253,0.0032851548192601,0.0011233129833208,0.0014345772487859,ASGR
2020 - 2,2030498,907544,2596901,1018892,1578009,1578005,1452468,269180,20939,20939,15.52,2.23735488306903,0.6456819954765785,0.185325941776342,0.0144161523696219,0.0103122485222836,0.0132692862189917,ASGR
2020 - 3,1907054,746615,2446378,855634,1590744,1590740,2348376,400030,33674,33674,24.97,2.5542669247202374,0.5378829025914917,0.1703432499735988,0.0143392710536983,0.0176576017249642,0.0211687642229402,ASGR
2020 - 4,1742927,614162,2288831,726053,1562778,1562774,3348871,539241,47783,47783,35.42,2.837894562021096,0.4645912599230345,0.1610217294126886,0.0142683907501961,0.0274153765476121,0.0305757582350359,ASGR
2021 - 1,1717985,600080,2276328,711580,1564748,1564744,616936,118709,1401,1401,1.04,2.862926609785362,0.4547569321066395,0.1924170416380305,0.0022709000609463,0.0008154902400195,0.0008953541282152,ASGR
2021 - 2,1741301,567633,2247621,678361,1569260,1569256,1256830,248190,18049,18049,13.38,3.0676528672575416,0.4322808202592305,0.1974730074870905,0.0143607329551331,0.0103652384050775,0.0115016287973409,ASGR
2021 - 3,1887863,662467,2359433,771228,1588205,1588201,1999198,373452,36994,36994,27.43,2.849746477937769,0.4855972623181516,0.1868009071637726,0.0185044202725292,0.019595701594872,0.0232930214752414,ASGR
2021 - 4,2226977,941897,2655278,1027625,1627653,1627649,3299105,536867,87311,87311,64.72,2.36435300250452,0.6313538573639468,0.1627311043449663,0.0264650564319717,0.0392060627478415,0.0536424007878848,ASGR
2022 - 1,1894713,580809,2308513,664673,1643840,1643836,618397,132023,15778,15778,11.7,3.2621963502631672,0.4043416634222309,0.2134923034878888,0.0255143540476425,0.0083273825640083,0.0095982810937344,ASGR
2019 - 1,942429851362,192973640125,1316268625678,309450010736,1006818614942,1005549063247,312934654424,94451356757,5281204093,5266068864,2.51,4.883723241949183,0.3073542802482119,0.3018245356394002,0.0168763798394933,0.0055877568567989,0.0052370083733114,WIIM
2019 - 2,926549483620,164616204341,1288492474530,287025764610,1001466709920,1000204624245,649311759794,198413116757,8580709125,8555970298,4.07,5.628543601337488,0.2866053976301703,0.3055745006373338,0.0132150835027573,0.0092342292011993,0.0085542198972119,WIIM
2019 - 3,940111688031,172502908655,1297909208342,293434420944,1004474787398,1003203100681,1007352982883,312210897877,15442947434,15403289782,7.34,5.449830935379714,0.2921272137692127,0.309931973381829,0.0153302245552526,0.0163845317296938,0.0153541090249261,WIIM
2019 - 4,948430163983,157443942631,1299521608556,266351031079,1033170577477,1031855680246,1393574099760,431533366187,27328091481,27273075178,12.99,6.023922852375639,0.2577996672431658,0.3096594334390387,0.0196100741867306,0.0287560183276592,0.0264310946774048,WIIM
2020 - 1,1053456998943,247569536956,1390928319404,346353848833,1044574470571,1043237749004,374897622004,117139465834,14305841697,14280070751,6.8,4.255196386016704,0.3315741084919213,0.3124572122059237,0.0381593289936828,0.0135554377305652,0.0136882228088788,WIIM
